id,cluster,hour,page,shares,reactions,phase
220,0,1/5/21 18:00,Craig Kelly,1363,2986,3
221,3,1/5/21 18:00,Lelibrepenseur.org,40,55,3
222,1,1/5/21 18:00,Pro-Life Éire,9,29,3
223,2,1/5/21 19:00,Australian Conservative News,4,16,3
224,0,1/5/21 19:00,Craig Kelly,1363,2986,3
225,3,1/5/21 19:00,Lelibrepenseur.org,54,77,3
226,1,1/5/21 19:00,Pro-Life Éire,9,29,3
227,2,1/5/21 20:00,Australian Conservative News,4,16,3
228,0,1/5/21 20:00,Craig Kelly,1363,2986,3
229,3,1/5/21 20:00,Lelibrepenseur.org,66,96,3
230,1,1/5/21 20:00,Pro-Life Éire,9,29,3
231,2,1/5/21 21:00,Australian Conservative News,4,16,3
232,0,1/5/21 21:00,Craig Kelly,1363,2986,3
233,3,1/5/21 21:00,Lelibrepenseur.org,75,107,3
234,1,1/5/21 21:00,Pro-Life Éire,9,29,3
235,2,1/5/21 22:00,Australian Conservative News,4,16,3
236,0,1/5/21 22:00,Craig Kelly,1363,2986,3
237,3,1/5/21 22:00,Lelibrepenseur.org,82,115,3
238,1,1/5/21 22:00,Pro-Life Éire,9,29,3
239,2,1/5/21 23:00,Australian Conservative News,4,16,3
240,0,1/5/21 23:00,Craig Kelly,1363,2986,3
241,3,1/5/21 23:00,Lelibrepenseur.org,88,123,3
242,1,1/5/21 23:00,Pro-Life Éire,9,29,3
243,2,1/6/21 0:00,Australian Conservative News,4,16,3
244,0,1/6/21 0:00,Craig Kelly,1363,2986,3
245,3,1/6/21 0:00,Lelibrepenseur.org,88,127,3
246,1,1/6/21 0:00,Pro-Life Éire,9,29,3
247,2,1/6/21 1:00,Australian Conservative News,4,16,3
248,0,1/6/21 1:00,Craig Kelly,1363,2986,3
249,3,1/6/21 1:00,Lelibrepenseur.org,89,128,3
250,1,1/6/21 1:00,Pro-Life Éire,9,29,3
251,2,1/6/21 2:00,Australian Conservative News,4,16,3
252,0,1/6/21 2:00,Craig Kelly,1363,2986,3
253,3,1/6/21 2:00,Lelibrepenseur.org,91,129,3
254,1,1/6/21 2:00,Pro-Life Éire,9,29,3
255,2,1/6/21 3:00,Australian Conservative News,4,16,3
256,0,1/6/21 3:00,Craig Kelly,1363,2986,3
257,3,1/6/21 3:00,Lelibrepenseur.org,92,129,3
258,1,1/6/21 3:00,Pro-Life Éire,9,29,3
259,2,1/6/21 4:00,Australian Conservative News,4,16,3
260,0,1/6/21 4:00,Craig Kelly,1363,2986,3
261,3,1/6/21 4:00,Lelibrepenseur.org,91,131,3
262,1,1/6/21 4:00,Pro-Life Éire,9,29,3
263,2,1/6/21 5:00,Australian Conservative News,4,16,3
264,0,1/6/21 5:00,Craig Kelly,1363,2986,3
265,3,1/6/21 5:00,Lelibrepenseur.org,92,133,3
266,1,1/6/21 5:00,Pro-Life Éire,9,29,3
267,2,1/6/21 6:00,Australian Conservative News,4,16,3
268,0,1/6/21 6:00,Craig Kelly,1363,2986,3
